,user_id,test_group,total_spend,total_wins_spend
19,292974330,P,99.71000000000001,99.71000000000001
20,287814571,P,22.443253440009737,22.443253440009737
22,242492922,C,350.24000000000007,350.24000000000007
25,288470541,P,14.97,14.97
40,244519373,P,1.98,1.98
42,295962790,C,179.56000000000003,179.56000000000003
49,252882094,P,4.97,4.97
60,297707201,C,12.98,12.98
88,240989112,P,289.84385364276784,289.84385364276784
91,241346734,P,103.69999999999999,103.69999999999999
92,240414594,C,1.99,1.99
104,289591510,C,7.9399999999999995,7.9399999999999995
122,241074103,C,4.227690833078555,4.227690833078555
128,297058080,C,8.429754158837833,8.429754158837833
138,297352820,C,7.2798160404401155,7.2798160404401155
144,247768984,P,18.939999999999998,18.939999999999998
151,247184153,C,18.949999999999996,18.949999999999996
154,287886500,C,110.12757919038181,110.12757919038181
161,241216252,C,191.72464411537706,191.72464411537706
165,243609662,C,19.73996781526987,19.73996781526987
192,245874432,C,31.89,31.89
206,248400824,P,1.118688773598945,1.118688773598945
213,299225110,C,18.043611967249774,18.043611967249774
218,288550531,C,77.86000000000001,77.86000000000001
219,290146611,C,119.86999999999999,119.86999999999999
229,289099241,C,719.0964330359463,696.1380365244444
257,250556442,C,1.99,1.99
268,245680184,C,192.25336191754022,192.25336191754022
283,244087334,C,1.98,1.98
301,289279510,P,4.05211324757555,4.05211324757555
306,247565742,C,8.201851751511615,8.201851751511615
321,249337164,P,6.038132680058689,6.038132680058689
328,250764844,P,27.891660440956606,27.891660440956606
339,250575092,C,6.970000000000001,6.970000000000001
373,243877284,P,34.14708210432663,34.14708210432663
377,242795804,C,61.47927410475498,61.47927410475498
388,246588353,P,7.061298847920353,7.061298847920353
402,248556634,C,4.160608779039193,4.160608779039193
407,244552574,C,56.74,56.74
417,292885931,C,0.99,0.99
418,245422862,C,51.809999999999995,51.809999999999995
419,240697163,C,4.98,4.98
428,248541502,P,0.99,0.99
434,247350294,C,5.107707110358206,5.107707110358206
448,248788852,C,1.99,1.99
456,288142030,P,11.772734765877859,11.772734765877859
468,288372880,C,16.307731373031775,16.307731373031775
470,242354743,C,4.97,4.97
471,244447262,C,1.188445429346919,1.188445429346919
477,286633950,C,11.97,11.97
480,245823122,C,8.63953124463668,8.63953124463668
518,289978251,P,133.72130706567353,133.72130706567353
525,247694703,C,0.99,0.99
526,245649574,C,5.970000000000001,5.970000000000001
527,292682491,C,8.97,8.97
535,248415382,C,66.87,66.87
542,243343662,P,65.74,65.74
548,250658553,C,6.4135299382401625,6.4135299382401625
550,241880633,C,20.721578850620812,20.721578850620812
552,298089911,P,14.91,14.91
561,243393672,C,2.99,2.99
563,243919812,C,0.99,0.99
566,297727041,C,15.051372168753723,15.051372168753723
569,250553703,P,27.91,27.91
580,240695172,P,63.85000000000001,63.85000000000001
606,299152051,P,2.9699999999999998,2.9699999999999998
612,288230911,C,126.8921350306924,126.8921350306924
613,246556712,C,168.54000000000002,168.54000000000002
621,249232032,C,28.94,28.94
622,287714031,C,2.98,2.98
642,242910773,P,12.950000000000001,12.950000000000001
648,296139491,C,7.96,7.96
652,246811574,C,20.950000000000003,20.950000000000003
662,299138171,P,3.1229209877509496,3.1229209877509496
667,246226923,P,12.97,12.97
669,242370472,C,30.95,30.95
673,298472830,C,2.99,2.99
677,249023393,P,54.92,54.92
680,239873102,P,2.0600504712365453,2.0600504712365453
685,248788023,C,13.950000000000001,13.950000000000001
694,289564310,C,25.939999999999998,25.939999999999998
702,250462753,C,8.403501960810129,8.403501960810129
704,250160502,C,15.881196605240213,15.881196605240213
712,247388464,C,8.193190783238233,8.193190783238233
716,213321094,P,4.99,4.99
739,296042581,P,12.44267239801516,12.44267239801516
742,241996593,C,0.99,0.99
750,241827963,P,5.521538813169893,5.521538813169893
763,299271671,C,0.99,0.99
767,295205591,P,22.939999999999998,22.939999999999998
788,291281500,C,46.03335295030149,46.03335295030149
791,243779523,C,7.874941640109182,7.874941640109182
792,240491634,C,19.99,19.99
812,245259643,P,204.81018570198063,204.81018570198063
822,244378362,P,42.82000000000001,42.82000000000001
843,244166523,P,8.97,8.97
847,247699574,C,9.92663292278187,9.92663292278187
857,169529851,P,3.96,3.96
865,245977724,C,65.5707450333859,65.5707450333859
868,93535442,C,3.2634451206420705,3.2634451206420705
888,250425154,C,7.232268634781434,7.232268634781434
895,246847722,P,0.99,0.99
905,146111630,C,5.9399999999999995,5.9399999999999995
915,288999920,C,66.7,66.7
919,242329304,C,34.96,34.96
926,294392161,C,78.2480914651639,78.2480914651639
940,247898823,C,110.72000000000001,110.72000000000001
959,249445214,P,1.98,1.98
970,239834612,C,6.98,6.98
972,294516140,P,3.96,3.96
977,247189634,C,3.9699999999999998,3.9699999999999998
982,246430663,C,2.301075661559253,2.301075661559253
1006,244220584,P,17.73342901094508,17.73342901094508
1011,246436723,P,67.23662640539253,67.23662640539253
1022,295986881,C,2.960936366516547,2.960936366516547
1023,244736824,C,0.891448660471038,0.891448660471038
1028,247413794,C,1.0873519069727418,1.0873519069727418
1031,241459893,C,83.8,83.8
1033,243320894,P,418.75245992510406,416.5021362900961
1067,251571512,C,4.99,4.99
1071,247427004,C,154.76000000000002,154.76000000000002
1088,289266650,C,9.99,9.99
1091,287736791,C,44.94973475108671,44.94973475108671
1092,290572250,C,27.959999999999997,27.959999999999997
1097,240457052,C,265.1942614238252,265.1942614238252
1103,242742232,P,20.840000000000003,20.840000000000003
1132,292585710,P,7.94,7.94
1133,295030310,C,7.090849617654669,7.090849617654669
1136,249552814,C,2.3502681345663263,2.3502681345663263
1137,298612410,P,4.99,4.99
1148,242602662,P,8.930739303598333,8.930739303598333
1184,250637722,C,2.99,2.99
1194,246582392,C,5.479308064871194,5.479308064871194
1199,240245594,P,28.92,28.92
1204,240627343,C,96.66999999999999,96.66999999999999
1227,240760544,P,335.39000000000004,335.39000000000004
1230,240837382,P,34.94,34.94
1237,296110531,C,9.99,9.99
1241,295842741,P,6.970000000000001,6.970000000000001
1242,240451734,P,92.444977315126,92.444977315126
1248,244750263,C,3.0451941438574157,3.0451941438574157
1259,248216222,P,14.98,14.98
1260,247977324,C,11.97,11.97
1272,240433383,C,14.930000000000001,14.930000000000001
1274,248643782,C,7.455695663606174,7.455695663606174
1280,251199614,C,60.900000000000006,60.900000000000006
1287,242718474,C,511.61973475108687,511.61973475108687
1288,252820634,P,6.058729609460846,6.058729609460846
1309,295470590,P,73.82000000000001,73.82000000000001
1324,289163431,C,71.76866303830573,71.76866303830573
1342,246027083,C,11.99,11.99
1365,298525931,P,3.1353653852868266,3.1353653852868266
1376,289170280,C,46.76986162026368,46.76986162026368
1377,247965724,P,14.97,14.97
1381,288664871,P,3.605406904535096,3.605406904535096
1385,294767470,C,1.99,1.99
1412,245506602,C,84.67609527878244,84.67609527878244
1427,292943871,C,0.99,0.99
1428,292607981,P,23.941654015867833,23.941654015867833
1443,245539062,P,1.99,1.99
1450,295642571,C,2.032779851985025,2.032779851985025
1476,245251152,P,2.4067243151720383,2.4067243151720383
1484,249809093,C,43.551803517624705,43.551803517624705
1497,240912063,C,56.870000000000005,56.870000000000005
1508,296856850,C,23.971039779383915,23.971039779383915
1519,252390683,C,4.99,4.99
1560,245973392,C,9.99,9.99
1571,290786851,C,1.0644986377743997,1.0644986377743997
1579,297750230,C,44.870000000000005,44.870000000000005
1585,252633662,C,1.076374191207595,1.076374191207595
1590,249127912,C,7.3563332224110525,7.3563332224110525
1610,249974524,C,2.98,2.98
1614,249648962,C,7.393200730039904,7.393200730039904
1625,251350234,P,4.98,4.98
1632,244570302,P,4.96,4.96
1653,251238842,C,2.99,2.99
1655,242936584,P,12.55825081691988,12.55825081691988
1672,247348823,P,98.6,98.6
1691,289090611,C,100.36466011356796,100.36466011356796
1695,296142640,C,2.98,2.98
1739,252393803,C,8.465453924632884,8.465453924632884
1740,241411662,C,85.87,85.87
1747,295064551,P,11.96,11.96
1778,300042670,P,13.89,13.89
1784,247283293,C,5.97,5.97
1789,288897140,C,2.262129321983588,2.262129321983588
1795,289882280,P,18.577077489824262,18.577077489824262
1803,291964500,C,0.99,0.99
1808,246409164,C,33.28020780915987,33.28020780915987
1809,295808521,C,16.94,16.94
1824,290408181,P,1.008274984086569,1.008274984086569
1826,292094881,C,1.7910440632660447,1.7910440632660447
